Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Venezuela,"552,260",,"5,854",,"546,124",,282,31,"18,870",200,"3,359,014","114,771","29,266,991",South America,53,"4,999",9,,,10
Egypt,"515,792",,"24,613",,"442,182",,"48,997",122,"4,859",232,"3,693,367","34,792","106,156,692",Africa,206,"4,313",29,,,462
Libya,"507,201",,"6,437",,"500,750",,14,,"72,038",914,"2,483,812","352,777","7,040,745",Africa,14,"1,094",3,,,2
Ethiopia,"500,259",,"7,572",,"487,424",,"5,263",1,"4,141",63,"5,507,084","45,584","120,812,698",Africa,242,"15,955",22,,,44
Qatar,"495,856",,688,,"494,555",,613,23,"166,399",231,"4,065,369","1,364,257","2,979,915",Asia,6,"4,331",1,,,206
Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa,2,986,1,,,"73,888"
Honduras,"472,340",,"11,111",,N/A,N/A,N/A,105,"46,212","1,087","1,640,835","160,532","10,221,247",North America,22,920,6,,,"32,157"
Armenia,"447,778",,"8,733",,"435,162",,"3,883",,"150,667","2,938","3,242,901","1,091,164","2,971,966",Asia,7,340,1,,,"1,307"
Bosnia and Herzegovina,"401,914",,"16,289",,"379,084",,"6,541",,"123,692","5,013","1,884,721","580,036","3,249,317",Europe,8,199,2,,,"2,013"
Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia,13,"1,150",0,,,"1,907"
North Macedonia,"347,182",,"9,664",,"337,068",,450,,"166,810","4,643","2,226,216","1,069,626","2,081,304",Europe,6,215,1,,,216
Zambia,"343,376",,"4,057",,"339,133",,186,,"17,636",208,"3,962,891","203,536","19,470,234",Africa,57,"4,799",5,,,10
Kenya,"342,943",,"5,688",,"337,225",,30,1,"6,101",101,"3,967,062","70,569","56,215,221",Africa,164,"9,883",14,,,0.5
Albania,"334,549",,"3,599",,"329,266",,"1,684",,"116,715","1,256","1,941,032","677,173","2,866,374",Europe,9,796,1,,,588
Botswana,"329,769",,"2,801",,"326,962",,6,1,"135,087","1,147","2,026,898","830,300","2,441,162",Africa,7,872,1,,,2
Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371",Europe,2,567,0,,,"11,883"
Montenegro,"289,300",,"2,808",,"285,867",,625,6,"460,705","4,472","2,727,901","4,344,137","627,950",Europe,2,224,0,,,995
Brunei,"280,790",,225,,"243,601",,"36,964",3,"630,378",505,"717,784","1,611,437","445,431",Asia,2,"1,980",1,,,"82,985"
Algeria,"271,548",,"6,881",,"182,893",,"81,774",,"5,988",152,"230,861","5,091","45,350,148",Africa,167,"6,591",196,,,"1,803"
Nigeria,"266,641",,"3,155",,"259,938",,"3,548",11,"1,230",15,"5,708,974","26,339","216,746,934",Africa,813,"68,700",38,,,16
Zimbabwe,"264,391",,"5,672",,"258,184",,535,12,"17,245",370,"2,525,756","164,744","15,331,428",Africa,58,"2,703",6,,,35
Uzbekistan,"251,430",,"1,637",,"241,486",,"8,307",23,"7,313",48,"1,377,915","40,077","34,382,084",Asia,137,"21,003",25,,,242
Mozambique,"233,214",,"2,242",,"228,805",,"2,167",11,"7,048",68,"1,371,127","41,437","33,089,461",Africa,142,"14,759",24,,,65
Martinique,"229,807",,"1,098",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087",North America,2,341,0,,,"611,101"
Laos,"218,027",+1,758,,N/A,N/A,N/A,,"29,144",101,"1,233,207","164,845","7,481,023",Asia,34,"9,869",6,0.1,,"28,019"
Afghanistan,"209,709",,"7,896",,"191,709",,"10,104",45,"5,146",194,"1,209,413","29,676","40,754,388",Asia,194,"5,161",34,,,248
Iceland,"209,168",,229,,N/A,N/A,N/A,2,"605,594",663,"1,996,384","5,780,036","345,393",Europe,2,"1,508",0,,,"385,804"
Kyrgyzstan,"206,740",,"2,991",,"196,406",,"7,343",131,"30,727",445,"1,907,195","283,460","6,728,271",Asia,33,"2,250",4,,,"1,091"
Guadeloupe,"201,886",,"1,010",,N/A,N/A,N/A,19,"504,975","2,526","938,039","2,346,306","399,794",North America,2,396,0,,,"496,821"
El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389",North America,32,"1,549",3,,,"2,770"
Trinidad and Tobago,"190,285",,"4,361",,"185,714",,210,8,"135,282","3,100","902,869","641,887","1,406,585",North America,7,323,2,,,149
Maldives,"185,744",,311,,"163,687",,"21,746",25,"343,344",575,"2,213,831","4,092,223","540,985",Asia,3,"1,740",0,,,"40,197"
Ghana,"171,288",,"1,462",,"169,781",,45,2,"5,287",45,"2,532,076","78,161","32,395,450",Africa,189,"22,158",13,,,1
Namibia,"171,208",,"4,090",,"166,776",,342,,"65,002","1,553","1,062,663","403,460","2,633,874",Africa,15,644,2,,,130
Uganda,"170,558",,"3,630",,"100,431",,"66,497",3,"3,522",75,"3,012,408","62,198","48,432,863",Africa,284,"13,342",16,,,"1,373"
Jamaica,"154,416",,"3,514",,"102,529",,"48,373",,"51,729","1,177","1,183,986","396,633","2,985,094",North America,19,849,3,,,"16,205"
Cambodia,"138,721",,"3,056",,"135,663",,2,,"8,080",178,"3,091,420","180,062","17,168,639",Asia,124,"5,618",6,,,0.1
Rwanda,"133,194",,"1,468",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464",Africa,102,"9,265",2,,,6
Cameroon,"124,605",,"1,966",,"122,434",,205,13,"4,464",70,"1,751,774","62,762","27,911,548",Africa,224,"14,197",16,,,7
Malta,"117,749",,829,,"116,248",,672,4,"265,181","1,867","2,119,315","4,772,877","444,033",Europe,4,536,0,,,"1,513"
Barbados,"106,798",,579,,"106,211",,8,,"370,797","2,010","794,426","2,758,203","288,023",North America,3,497,0,,,28
Angola,"105,298",,"1,933",,"103,342",,23,,"3,006",55,"1,499,795","42,818","35,027,343",Africa,333,"18,121",23,,,0.7
Channel Islands,"101,530",,228,,"101,161",,141,,"575,361","1,292","1,252,808","7,099,551","176,463",Europe,2,774,0,,,799
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169",South America,3,748,0,,,"274,906"
DRC,"95,815",,"1,464",,"84,379",,"9,972",,"1,006",15,"846,704","8,890","95,240,792",Africa,994,"65,055",112,,,105
