Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
French Polynesia,78055.0,0.0,649.0,0.0,0.0,0.0,0.0,7.0,274683.0,2284.0,0.0,0.0,284164.0,Australia/Oceania,4.0,438.0,0.0,0.0,0.0,154509.0
Eswatini,74323.0,0.0,1425.0,0.0,72824.0,0.0,74.0,0.0,62730.0,1203.0,1048704.0,885119.0,1184817.0,Africa,16.0,831.0,1.0,0.0,0.0,62.0
Guyana,73086.0,0.0,1298.0,0.0,71775.0,0.0,13.0,0.0,92043.0,1635.0,722993.0,910519.0,794045.0,South America,11.0,612.0,1.0,0.0,0.0,16.0
Belize,70782.0,0.0,688.0,0.0,70085.0,0.0,9.0,6.0,171722.0,1669.0,576016.0,1397453.0,412190.0,North America,6.0,599.0,1.0,0.0,0.0,22.0
Fiji,68898.0,0.0,883.0,0.0,67006.0,0.0,1009.0,0.0,75757.0,971.0,669148.0,735759.0,909466.0,Australia/Oceania,13.0,1030.0,1.0,0.0,0.0,1109.0
Madagascar,67941.0,0.0,1423.0,0.0,66470.0,0.0,48.0,0.0,2328.0,49.0,528012.0,18096.0,29178077.0,Africa,429.0,20505.0,55.0,0.0,0.0,2.0
Sudan,63829.0,0.0,5017.0,0.0,58501.0,9.0,311.0,0.0,1388.0,109.0,562941.0,12240.0,45992020.0,Africa,721.0,9167.0,82.0,0.0,0.0,7.0
Mauritania,63668.0,0.0,997.0,0.0,62441.0,0.0,230.0,0.0,12988.0,203.0,1009957.0,206030.0,4901981.0,Africa,77.0,4917.0,5.0,0.0,0.0,47.0
Cabo Verde,63244.0,0.0,413.0,0.0,62773.0,0.0,58.0,23.0,111408.0,728.0,401622.0,707482.0,567678.0,Africa,9.0,1375.0,1.0,0.0,0.0,102.0
Bhutan,62627.0,0.0,21.0,0.0,61564.0,0.0,1042.0,0.0,79482.0,27.0,2303734.0,2923739.0,787941.0,Asia,13.0,37521.0,0.0,0.0,0.0,1322.0
